name	uuid	color	loyalty	mana_cost	text	type	power	toughness
Game-Trail Changeling	0c9c1935-2e15-5e70-a283-5d0735c0c8cf	['G']		{3}{G}{G}	"Changeling (This card is every creature type.)
Trample"		4	4
Gamekeeper	3b5e6150-d0cd-5639-b491-79d944d75c5a	['G']		{3}{G}	When Gamekeeper dies, you may exile it. If you do, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and put all other cards revealed this way into your graveyard.		2	2
Gang Up	e505cc12-9d0b-5cf7-b36a-363dc0e1866b	['B']		{X}{B}	"Assist (Another player can pay up to {X} of this spell's cost. You choose the value of X.)
Destroy target creature with power X or less."			
Gang of Devils	c04dc6bf-ae84-55c4-b025-ad110b409998	['R']		{5}{R}	When Gang of Devils dies, it deals 3 damage divided as you choose among one, two, or three targets.		3	3
Gang of Elk	fab5be04-4863-5003-9fb8-65c7fbee808e	['G']		{5}{G}	Whenever Gang of Elk becomes blocked, it gets +2/+2 until end of turn for each creature blocking it.		5	4
Gangrenous Goliath	3ca00adc-17f4-50ee-a01c-40ba113f5ef8	['B']		{3}{B}{B}	Tap three untapped Clerics you control: Return Gangrenous Goliath from your graveyard to your hand.		4	4
Gangrenous Zombies	2dc8d870-ba32-5ffd-9ae9-3d6c4a43f8b9	['B']		{1}{B}{B}	{T}, Sacrifice Gangrenous Zombies: Gangrenous Zombies deals 1 damage to each creature and each player. If you control a snow Swamp, Gangrenous Zombies deals 2 damage to each creature and each player instead.		2	2
Garbage Elemental	a7615ced-ba6b-508b-a4a5-0510409e630c	['R']		{4}{R}	"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)
Garbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.)"		2	4
Garbage Elemental (b)	647c0fa2-dcd2-5d9c-9ceb-47723ae180ec	['R']		{4}{R}	When Garbage Elemental enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)		3	1
Garbage Elemental (c)	c2824718-6886-561b-bc9b-f372b62053c2	['R']		{4}{R}	"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
When Garbage Elemental enters the battlefield, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results."		3	2
Garbage Elemental (d)	c5153da2-6dce-5f28-baa1-3c2c0dfcff8c	['R']		{4}{R}	"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
When Garbage Elemental enters the battlefield, roll a six-sided die. Garbage Elemental deals damage equal to the result to target opponent or planeswalker."		3	3
Garbage Elemental (e)	bc8b2a6a-01e1-5bd6-a9da-4de8984e9461	['R']		{4}{R}	"Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Each creature you control with any kind of counter on it has art menace. (They can't be blocked except by creatures with two or more visible figures in their art.)"		4	3
Garbage Elemental (f)	a9655e7f-ead5-5ca1-968a-5f1dff687e45	['R']		{4}{R}	"Last strike (This creature deals combat damage after creatures without last strike.)
Battalion — Whenever Garbage Elemental and at least two other creatures attack, target creature can't block this turn."		6	5
Garbage Fire	c8e8ab81-ef85-5ee4-84d3-3a2731c93fde	['R']		{2}{R}	"Reveal Garbage Fire as you draft it and note how many cards you've drafted this draft round, including Garbage Fire.
Garbage Fire deals damage to target creature equal to the highest number you noted for cards named Garbage Fire."			
Gargantuan Gorilla	ba958b16-3b49-52d1-b58a-25ec52c8f9bc	['G']		{4}{G}{G}{G}	"At the beginning of your upkeep, you may sacrifice a Forest. If you sacrifice a snow Forest this way, Gargantuan Gorilla gains trample until end of turn. If you don't sacrifice a Forest, sacrifice Gargantuan Gorilla and it deals 7 damage to you.
{T}: Gargantuan Gorilla deals damage equal to its power to another target creature. That creature deals damage equal to its power to Gargantuan Gorilla."		7	7
Gargoyle Castle	513e3fd7-21ad-5496-b9cb-f749e9310086				"{T}: Add {C}.
{5}, {T}, Sacrifice Gargoyle Castle: Create a 3/4 colorless Gargoyle artifact creature token with flying."			
Gargoyle Sentinel	64f6c59d-e747-500d-a7e1-679b81e407d6			{3}	"Defender (This creature can't attack.)
{3}: Until end of turn, Gargoyle Sentinel loses defender and gains flying."		3	3
Garna, the Bloodflame	e0cd2561-01a3-5114-bf31-e3716874fba2	['B', 'R']		{3}{B}{R}	"Flash
When Garna, the Bloodflame enters the battlefield, return to your hand all creature cards in your graveyard that were put there from anywhere this turn.
Other creatures you control have haste."		3	3
Garrison Sergeant	1bf5c2cf-7018-5500-9502-dc81da4f75e1	['R', 'W']		{3}{R}{W}	Garrison Sergeant has double strike as long as you control a Gate.		3	3
Garruk Relentless	a83a35fd-5893-56ba-a9b1-3fdc4915cdec	['G']	3	{3}{G}	"When Garruk Relentless has two or fewer loyalty counters on him, transform him.
0: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.
0: Create a 2/2 green Wolf creature token."			
Garruk Wildspeaker	f151d50b-d7f1-5776-a194-07f96f8190d0	['G']	3	{2}{G}{G}	"+1: Untap two target lands.
−1: Create a 3/3 green Beast creature token.
−4: Creatures you control get +3/+3 and gain trample until end of turn."			
Garruk the Slayer	c4d600d9-eeb9-5da9-8d44-73c7e44da6b0	['B', 'G']	20		"0: Put a 2/2 green Wolf creature token onto the battlefield.
+4: Target Wolf creature gets +1/+0 and gains deathtouch until end of turn.
-10: Destroy target creature. Put loyalty counters on Garruk the Slayer equal to that creature's toughness.
-25: Destroy all creatures Garruk the Slayer doesn't control."			
Garruk's Companion	1e6d3385-526e-5bf8-8335-8f102344c273	['G']		{G}{G}	Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)		3	2
Garruk's Horde	d48aa659-44f6-55f8-9ffb-4e5ed66c1f3a	['G']		{5}{G}{G}	"Trample
Play with the top card of your library revealed.
You may cast the top card of your library if it's a creature card. (Do this only any time you could cast that creature card. You still pay the spell's costs.)"		7	7
Garruk's Packleader	69231351-3ea2-5bad-a977-e65f40c4d245	['G']		{4}{G}	Whenever another creature with power 3 or greater enters the battlefield under your control, you may draw a card.		4	4
Garruk, Apex Predator	b101fa96-30d5-580d-ab4a-ea33262ed85a	['B', 'G']	5	{5}{B}{G}	"+1: Destroy another target planeswalker.
+1: Create a 3/3 black Beast creature token with deathtouch.
−3: Destroy target creature. You gain life equal to its toughness.
−8: Target opponent gets an emblem with ""Whenever a creature attacks you, it gets +5/+5 and gains trample until end of turn."""			
Garruk, Caller of Beasts	b585879f-fa51-561a-a335-28c308cc235b	['G']	4	{4}{G}{G}	"+1: Reveal the top five cards of your library. Put all creature cards revealed this way into your hand and the rest on the bottom of your library in any order.
−3: You may put a green creature card from your hand onto the battlefield.
−7: You get an emblem with ""Whenever you cast a creature spell, you may search your library for a creature card, put it onto the battlefield, then shuffle your library."""			
Garruk, Primal Hunter	4af26a64-3bd9-568a-9dc2-0a4a3107f7cd	['G']	3	{2}{G}{G}{G}	"+1: Create a 3/3 green Beast creature token.
−3: Draw cards equal to the greatest power among creatures you control.
−6: Create a 6/6 green Wurm creature token for each land you control."			
Garruk, the Veil-Cursed	ecc0e0a2-b0f1-5348-8fb8-d2205bd2707d	['B', 'G']			"+1: Create a 1/1 black Wolf creature token with deathtouch.
−1: Sacrifice a creature. If you do, search your library for a creature card, reveal it, put it into your hand, then shuffle your library.
−3: Creatures you control gain trample and get +X/+X until end of turn, where X is the number of creature cards in your graveyard."			
Garrulous Sycophant	b3a0d884-559c-570e-b3c1-159606c706a4	['B']		{2}{B}	At the beginning of your end step, if you're the monarch, each opponent loses 1 life and you gain 1 life.		1	4
Garza Zol, Plague Queen	5e528fc5-c981-527a-853c-348dbf7d2b39	['B', 'R', 'U']		{4}{U}{B}{R}	"Flying, haste
Whenever a creature dealt damage by Garza Zol, Plague Queen this turn dies, put a +1/+1 counter on Garza Zol.
Whenever Garza Zol deals combat damage to a player, you may draw a card."		5	5
Garza's Assassin	faae5716-410d-51ef-a103-8ceb8805dc3b	['B']		{B}{B}{B}	"Sacrifice Garza's Assassin: Destroy target nonblack creature.
Recover—Pay half your life, rounded up. (When another creature is put into your graveyard from the battlefield, you may pay half your life, rounded up. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)"		2	2
Gaseous Form	25c55b67-928b-5074-8231-4b1cf8ba804b	['U']		{2}{U}	"Enchant creature
Prevent all combat damage that would be dealt to and dealt by enchanted creature."			
Gate Colossus	e0d39adf-4a8d-5373-87e5-c205e5d6a96e			{8}	"This spell costs {1} less to cast for each Gate you control.
Gate Colossus can't be blocked by creatures with power 2 or less.
Whenever a Gate enters the battlefield under your control, you may put Gate Colossus from your graveyard on top of your library."		8	8
Gate Hound	4eb655a7-5481-59f8-b2db-d6347579b8ff	['W']		{2}{W}	Creatures you control have vigilance as long as Gate Hound is enchanted.		1	1
Gate Smasher	a7b5195d-4468-5c6a-be24-be786df97d7e			{3}	"Gate Smasher can be attached only to a creature with toughness 4 or greater.
Equipped creature gets +3/+0 and has trample.
Equip {3}"			
Gate to Phyrexia	0dd252e3-ec56-5aca-9846-ddf6375d11e6	['B']		{B}{B}	Sacrifice a creature: Destroy target artifact. Activate this ability only during your upkeep and only once each turn.			
Gate to the Aether	68b2f44c-b5e4-5dde-bb05-9578a2ac3a47			{6}	At the beginning of each player's upkeep, that player reveals the top card of their library. If it's an artifact, creature, enchantment, or land card, the player may put it onto the battlefield.			
Gate to the Afterlife	c69c4e46-a355-56c9-ba97-6c85c9f725a4			{3}	"Whenever a nontoken creature you control dies, you gain 1 life. Then you may draw a card. If you do, discard a card.
{2}, {T}, Sacrifice Gate to the Afterlife: Search your graveyard, hand, and/or library for a card named God-Pharaoh's Gift and put it onto the battlefield. If you search your library this way, shuffle it. Activate this ability only if there are six or more creature cards in your graveyard."			
Gatebreaker Ram	0997fe48-2536-556d-b8ad-c16a64bb5069	['G']		{2}{G}	"Gatebreaker Ram gets +1/+1 for each Gate you control.
As long as you control two or more Gates, Gatebreaker Ram has vigilance and trample."		2	2
Gatecreeper Vine	c2bca949-47ab-539c-8c97-79cfa80f7281	['G']		{1}{G}	"Defender
When Gatecreeper Vine enters the battlefield, you may search your library for a basic land card or a Gate card, reveal it, put it into your hand, then shuffle your library."		0	2
Gatekeeper Gargoyle	de2d1a04-0284-56e5-96e0-9243d97967b8			{6}	"Flying
Gatekeeper Gargoyle enters the battlefield with a +1/+1 counter on it for each Gate you control."		3	3
Gatekeeper of Malakir	fcb84e4e-1501-52a9-99c1-8ae83fc6dfcc	['B']		{B}{B}	"Kicker {B} (You may pay an additional {B} as you cast this spell.)
When Gatekeeper of Malakir enters the battlefield, if it was kicked, target player sacrifices a creature."		2	2
Gates Ablaze	9e110c1c-34db-5c74-aa2a-400cdca9e1fb	['R']		{2}{R}	Gates Ablaze deals X damage to each creature, where X is the number of Gates you control.			
Gateway Plaza	8396f306-b79a-5ac9-b67e-87da616711e9				"Gateway Plaza enters the battlefield tapped.
When Gateway Plaza enters the battlefield, sacrifice it unless you pay {1}.
{T}: Add one mana of any color."			
Gateway Shade	996b66d8-0a54-5d8d-b41a-1a25a135a855	['B']		{2}{B}	"{B}: Gateway Shade gets +1/+1 until end of turn.
Tap an untapped Gate you control: Gateway Shade gets +2/+2 until end of turn."		1	1
Gateway Sneak	4ba8b064-c73c-567d-a052-40a80a31fade	['U']		{2}{U}	"Whenever a Gate enters the battlefield under your control, Gateway Sneak can't be blocked this turn.
Whenever Gateway Sneak deals combat damage to a player, draw a card."		1	3
Gathan Raiders	89726721-0fae-573b-a186-107519f03005	['R']		{3}{R}{R}	"Hellbent — Gathan Raiders gets +2/+2 as long as you have no cards in hand.
Morph—Discard a card. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"		3	3
Gather Courage	3a885b71-60d1-5d51-bc35-0410e8f9c7b4	['G']		{G}	"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Target creature gets +2/+2 until end of turn."			
Gather Specimens	fde62447-3abc-5334-a4b0-0d5b073036a5	['U']		{3}{U}{U}{U}	If a creature would enter the battlefield under an opponent's control this turn, it enters the battlefield under your control instead.			
Gather the Pack	4d363551-42b9-5d82-adf9-fcbfc65d0e1d	['G']		{1}{G}	"Reveal the top five cards of your library. You may put a creature card from among them into your hand. Put the rest into your graveyard.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, put up to two creature cards from among the revealed cards into your hand instead of one."			
Gather the Townsfolk	7d33fdd7-55eb-56e7-b5e7-574e5be8deb5	['W']		{1}{W}	"Create two 1/1 white Human creature tokens.
Fateful hour — If you have 5 or less life, create five of those tokens instead."			
Gatherer of Graces	84025b5f-2b5c-5a4a-82e2-a1185c66dde8	['G']		{1}{G}	"Gatherer of Graces gets +1/+1 for each Aura attached to it.
Sacrifice an Aura: Regenerate Gatherer of Graces."		1	2
Gatstaf Arsonists	e771d9c3-3b24-5597-89e6-4a96d80eb22e	['R']		{4}{R}	At the beginning of each upkeep, if no spells were cast last turn, transform Gatstaf Arsonists.		5	4
Gatstaf Howler	99e443ff-a043-55ea-ac0e-4fd21cabdfe2	['G']			"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
At the beginning of each upkeep, if a player cast two or more spells last turn, transform Gatstaf Howler."		3	3
Gatstaf Ravagers	6f21232d-2361-501c-b64d-ac7fd1d5ec0c	['R']			"Menace (This creature can't be blocked except by two or more creatures.)
At the beginning of each upkeep, if a player cast two or more spells last turn, transform Gatstaf Ravagers."		6	5
Gatstaf Shepherd	f27ac653-37c0-54f0-bb0e-5ca5ab28c9ba	['G']		{1}{G}	At the beginning of each upkeep, if no spells were cast last turn, transform Gatstaf Shepherd.		2	2
Gauntlet of Might	22986096-9d67-546d-9ea8-89e6c16aaa8d			{4}	"Red creatures get +1/+1.
Whenever a Mountain is tapped for mana, its controller adds an additional {R}."			
Gauntlet of Power	22b03562-e0ef-5ed1-8039-eb5c6881ea4b			{5}	"As Gauntlet of Power enters the battlefield, choose a color.
Creatures of the chosen color get +1/+1.
Whenever a basic land is tapped for mana of the chosen color, its controller adds an additional one mana of that color."			
Gauntlets of Chaos	2944f90d-20ae-59e3-bc19-9a99dabe0075			{5}	{5}, Sacrifice Gauntlets of Chaos: Exchange control of target artifact, creature, or land you control and target permanent an opponent controls that shares one of those types with it. If those permanents are exchanged this way, destroy all Auras attached to them.			
Gavony	186a345d-6439-53a1-84df-d92c7126594d				"All creatures have vigilance.
Whenever you roll {CHAOS}, creatures you control gain indestructible until end of turn."			
Gavony Ironwright	764700fe-ad69-561d-aa37-5bfe50342953	['W']		{2}{W}	Fateful hour — As long as you have 5 or less life, other creatures you control get +1/+4.		1	4
Gavony Township	5cf8b053-6489-5ef5-92b0-e64204111f12				"{T}: Add {C}.
{2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control."			
Gavony Unhallowed	7aab696a-14d0-5f32-a733-5c7bf5fcd8a3	['B']		{3}{B}	Whenever another creature you control dies, put a +1/+1 counter on Gavony Unhallowed.		2	4
Gaze of Adamaro	373c815f-223f-5157-9d1a-4b0fbc398049	['R']		{2}{R}{R}	Gaze of Adamaro deals damage to target player equal to the number of cards in that player's hand.			
Gaze of Granite	5a4d9273-3c08-5b91-9516-82c07973c10c	['B', 'G']		{X}{B}{B}{G}	Destroy each nonland permanent with converted mana cost X or less.			
Gaze of Justice	788fb7ef-defc-5be5-bd9b-f1793a8b66fc	['W']		{W}	"As an additional cost to cast this spell, tap three untapped white creatures you control.
Exile target creature.
Flashback {5}{W} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)"			
Gaze of Pain	4f09511d-3b5f-540c-8e81-500c1de424bf	['B']		{1}{B}	Until end of turn, whenever a creature you control attacks and isn't blocked, you may choose to have it deal damage equal to its power to a target creature. If you do, it assigns no combat damage this turn.			
Gaze of the Gorgon	8cdd92df-f77f-5f46-a4ba-722005329a9d	['B', 'G']		{3}{B/G}	"({B/G} can be paid with either {B} or {G}.)
Regenerate target creature. At this turn's next end of combat, destroy all creatures that blocked or were blocked by it this turn."			
Gearseeker Serpent	66107ef5-0120-506b-b878-ea18d01d25d0	['U']		{5}{U}{U}	"This spell costs {1} less to cast for each artifact you control.
{5}{U}: Gearseeker Serpent can't be blocked this turn."		5	6
Gearshift Ace	606eb42a-9528-5475-83df-d774686b4c9a	['W']		{1}{W}	"First strike
Whenever Gearshift Ace crews a Vehicle, that Vehicle gains first strike until end of turn."		2	1
Gearsmith Guardian	d86cfdfb-0f66-5b51-9e53-31d5fd22b21e			{5}	Gearsmith Guardian gets +2/+0 as long as you control a blue creature.		3	5
Gearsmith Prodigy	a0cc2283-c50a-5eb7-ba58-ca2bb0c953cb	['U']		{U}	Gearsmith Prodigy gets +1/+0 as long as you control an artifact.		1	2
Geier Reach Bandit	555adea0-be2f-5f4e-b8ab-9b3d21b679a5	['R']		{2}{R}	"Haste
At the beginning of each upkeep, if no spells were cast last turn, transform Geier Reach Bandit."		3	2
Geier Reach Sanitarium	3776b2f7-2adb-56ea-a50d-03a26991e5f3				"{T}: Add {C}.
{2}, {T}: Each player draws a card, then discards a card."			
Geist Snatch	3a748c63-aff1-58ce-93e5-8777a3d11353	['U']		{2}{U}{U}	Counter target creature spell. Create a 1/1 blue Spirit creature token with flying.			
Geist Trappers	3c5395c4-787e-5c9a-b325-f0fcff0af7c8	['G']		{4}{G}	"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Geist Trappers is paired with another creature, both creatures have reach."		3	5
Geist of Saint Traft	6160a555-1f42-5607-aabc-596e0109c4a5	['U', 'W']		{1}{W}{U}	"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat."		2	2
Geist of the Archives	c6b68cec-f17c-5500-adf8-29bdfbfdbe66	['U']		{2}{U}	"Defender
At the beginning of your upkeep, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"		0	4
Geist of the Lonely Vigil	e2cd93a4-b016-5461-8157-0287f8392414	['W']		{1}{W}	"Defender, flying
Delirium — Geist of the Lonely Vigil can attack as though it didn't have defender as long as there are four or more card types among cards in your graveyard."		2	3
Geist of the Moors	d8834a42-227d-5e15-976d-7a936a966db4	['W']		{1}{W}{W}	Flying		3	1
Geist-Fueled Scarecrow	26d0a070-c432-53fe-87f9-5e289f30ab0c			{4}	Creature spells you cast cost {1} more to cast.		4	4
Geist-Honored Monk	c71155d6-ebf4-5135-bdcf-3b656bcbff11	['W']		{3}{W}{W}	"Vigilance
Geist-Honored Monk's power and toughness are each equal to the number of creatures you control.
When Geist-Honored Monk enters the battlefield, create two 1/1 white Spirit creature tokens with flying."		*	*
Geistblast	9a3b89c8-2e3c-5670-aae7-b02a1420f77e	['R']		{2}{R}	"Geistblast deals 2 damage to any target.
{2}{U}, Exile Geistblast from your graveyard: Copy target instant or sorcery spell you control. You may choose new targets for the copy."			
Geistcatcher's Rig	f6af0195-f01f-5560-9d11-59209266c2c4			{6}	When Geistcatcher's Rig enters the battlefield, you may have it deal 4 damage to target creature with flying.		4	5
Geistflame	4f04411c-3922-546b-8ad4-62fd87222186	['R']		{R}	"Geistflame deals 1 damage to any target.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"			
Gelatinous Genesis	987b8d34-2c7d-5675-b258-8d2d95c1d367	['G']		{X}{X}{G}	Create X X/X green Ooze creature tokens.			
Gelectrode	762ee9a5-9a40-52d9-a993-d4f8364d44cc	['R', 'U']		{1}{U}{R}	"{T}: Gelectrode deals 1 damage to any target.
Whenever you cast an instant or sorcery spell, you may untap Gelectrode."		0	1
Gelid Shackles	170733f6-b8d9-56bd-8b7a-527a1d47e063	['W']		{W}	"Enchant creature
Enchanted creature can't block, and its activated abilities can't be activated.
{S}: Enchanted creature gains defender until end of turn. ({S} can be paid with one mana from a snow permanent.)"			
Gem of Becoming	db790fe3-347a-560c-8670-4f69e4ea11b0			{3}	{3}, {T}, Sacrifice Gem of Becoming: Search your library for an Island card, a Swamp card, and a Mountain card. Reveal those cards and put them into your hand. Then shuffle your library.			
Gemhide Sliver	784414b1-adac-5f23-8ef2-90195d3684b9	['G']		{1}{G}	"All Slivers have ""{T}: Add one mana of any color."""		1	1
Gemini Engine	57808a14-b18d-5f0b-bd50-20800af0f9db			{6}	Whenever Gemini Engine attacks, create a colorless Construct artifact creature token named Twin that's attacking. Its power is equal to Gemini Engine's power and its toughness is equal to Gemini Engine's toughness. Sacrifice the token at end of combat.		3	4
Gempalm Avenger	67626a18-e565-557d-9117-5554516d366f	['W']		{5}{W}	"Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)
When you cycle Gempalm Avenger, Soldier creatures get +1/+1 and gain first strike until end of turn."		3	5
Gempalm Incinerator	3f7c8e2a-182e-568f-9b47-804062858a75	['R']		{2}{R}	"Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)
When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield."		2	1
Gempalm Polluter	cf5e9824-16ff-5537-af50-ea696d97080a	['B']		{5}{B}	"Cycling {B}{B} ({B}{B}, Discard this card: Draw a card.)
When you cycle Gempalm Polluter, you may have target player lose life equal to the number of Zombies on the battlefield."		4	3
Gempalm Sorcerer	14e01311-42d2-5a95-8c60-e8d148c7b388	['U']		{2}{U}	"Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Gempalm Sorcerer, Wizard creatures gain flying until end of turn."		2	2
Gempalm Strider	c82314f9-395b-5451-98f5-ffb78e4e5b55	['G']		{1}{G}	"Cycling {2}{G}{G} ({2}{G}{G}, Discard this card: Draw a card.)
When you cycle Gempalm Strider, Elf creatures get +2/+2 until end of turn."		2	2
Gemstone Array	8e8f203a-b745-5b38-993a-329503f760c7			{4}	"{2}: Put a charge counter on Gemstone Array.
Remove a charge counter from Gemstone Array: Add one mana of any color."			
Gemstone Caverns	6e2d0793-008c-51bf-8dbc-e3667e2e0965				"If Gemstone Caverns is in your opening hand and you're not playing first, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand.
{T}: Add {C}. If Gemstone Caverns has a luck counter on it, instead add one mana of any color."			
Gemstone Mine	367c8802-6aea-5b1d-9161-f2e61f788347				"Gemstone Mine enters the battlefield with three mining counters on it.
{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color. If there are no mining counters on Gemstone Mine, sacrifice it."			
General Jarkeld	3493802b-d6c0-5e11-a1a9-220203bcd887	['W']		{3}{W}	{T}: Choose two target blocked attacking creatures. If each of those creatures could be blocked by all creatures that the other is blocked by, each creature that's blocking exactly one of those attacking creatures stops blocking it and is blocking the other attacking creature. Activate this ability only during the declare blockers step.		1	2
General Tazri	d06fda4c-bf71-5a24-8a30-197e6b012c98	['W']		{4}{W}	"When General Tazri enters the battlefield, you may search your library for an Ally creature card, reveal it, put it into your hand, then shuffle your library.
{W}{U}{B}{R}{G}: Ally creatures you control get +X/+X until end of turn, where X is the number of colors among those creatures."		3	4
General's Kabuto	a9fbfb88-dff5-5411-8b18-d452cb2adcb2			{4}	"Equipped creature has shroud. (It can't be the target of spells or abilities.)
Prevent all combat damage that would be dealt to equipped creature.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"			
General's Regalia	5a56ae96-30af-53e6-b0f5-377460fbf6ed			{3}	{3}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to target creature you control instead.			
Generator Servant	19ce7eb4-a8b9-5393-98b2-3c40c9d78e48	['R']		{1}{R}	{T}, Sacrifice Generator Servant: Add {C}{C}. If that mana is spent on a creature spell, it gains haste until end of turn. (That creature can attack and {T} as soon as it comes under your control.)		2	1
Generous Patron	fcf5aacc-9448-5644-9095-bc9696fe314d	['G']		{2}{G}	"When Generous Patron enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)
Whenever you put one or more counters on a creature you don't control, draw a card."		1	4
Generous Stray	4add5329-c510-5e0a-940f-466e0541806e	['G']		{2}{G}	When Generous Stray enters the battlefield, draw a card.		1	2
Genesis	0e825a45-8b73-5edd-b02e-97e0733e57ea	['G']		{4}{G}	At the beginning of your upkeep, if Genesis is in your graveyard, you may pay {2}{G}. If you do, return target creature card from your graveyard to your hand.		4	4
Genesis Chamber	344c2f3a-0b8e-5c76-9ac3-9eaad8af9c90			{2}	Whenever a nontoken creature enters the battlefield, if Genesis Chamber is untapped, that creature's controller creates a 1/1 colorless Myr artifact creature token.			
Genesis Hydra	bebfbf2a-e6c5-55ea-825e-6af9428fc1b0	['G']		{X}{G}{G}	"When you cast this spell, reveal the top X cards of your library. You may put a nonland permanent card with converted mana cost X or less from among them onto the battlefield. Then shuffle the rest into your library.
Genesis Hydra enters the battlefield with X +1/+1 counters on it."		0	0
Genesis Storm	99346496-ba5a-5876-90cc-a5aa48277a37	['G']		{4}{G}{G}	"When you cast this spell, copy it for each time you've cast your commander from the command zone this game.
Reveal cards from the top of your library until you reveal a nonland permanent card. You may put that card onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield on the bottom of your library in a random order."			
Genesis Wave	9428b790-a474-56dc-b96c-d9ba84a4b39f	['G']		{X}{G}{G}{G}	Reveal the top X cards of your library. You may put any number of permanent cards with converted mana cost X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield into your graveyard.			
Genetic Recombinator	2d458876-7e8a-5647-a9a7-b36b50ec1bef				Whenever you crank Genetic Recombinator, up to two target creatures each get +2/+2 until end of turn.			
Genju of the Cedars	3d623b63-3e5d-5289-9d1c-f1f8a4ce6eac	['G']		{G}	"Enchant Forest
{2}: Enchanted Forest becomes a 4/4 green Spirit creature until end of turn. It's still a land.
When enchanted Forest is put into a graveyard, you may return Genju of the Cedars from your graveyard to your hand."			
Genju of the Falls	b886b20b-2570-5e9b-958c-54301d08dd86	['U']		{U}	"Enchant Island
{2}: Enchanted Island becomes a 3/2 blue Spirit creature with flying until end of turn. It's still a land.
When enchanted Island is put into a graveyard, you may return Genju of the Falls from your graveyard to your hand."			
Genju of the Fens	2a2159bf-9fc6-55a3-b4be-0d4c0cce3099	['B']		{B}	"Enchant Swamp
{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with ""{B}: This creature gets +1/+1 until end of turn."" It's still a land.
When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand."			
Genju of the Fields	072b56b6-00b5-51e2-a33c-6be82ad9a463	['W']		{W}	"Enchant Plains
{2}: Until end of turn, enchanted Plains becomes a 2/5 white Spirit creature with ""Whenever this creature deals damage, its controller gains that much life."" It's still a land.
When enchanted Plains is put into a graveyard, you may return Genju of the Fields from your graveyard to your hand."			
Genju of the Realm	990a0367-fc6a-553e-aac7-afb154bf8e4c	['B', 'G', 'R', 'U', 'W']		{W}{U}{B}{R}{G}	"Enchant land
{2}: Enchanted land becomes a legendary 8/12 Spirit creature with trample until end of turn. It's still a land.
When enchanted land is put into a graveyard, you may return Genju of the Realm from your graveyard to your hand."			
Genju of the Spires	e574d66c-3d7e-5449-88ca-04e7dccae201	['R']		{R}	"Enchant Mountain
{2}: Enchanted Mountain becomes a 6/1 red Spirit creature until end of turn. It's still a land.
When enchanted Mountain is put into a graveyard, you may return Genju of the Spires from your graveyard to your hand."			
